date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
date=05-12-2024, time=01:36:48, id=12, deviceList=111111111111000000000000, readList=001111001100000000000000, code=0050115298
